Animal,Description
cat,"Cats are small, carnivorous mammals that are often kept as pets. They are known for their agility and playful behavior."
dog,"Dogs are domesticated mammals, not natural wild animals. They were originally bred from wolves."
lion,Lions are large carnivorous mammals that belong to the family of big cats. They are known as the king of the jungle.
tiger,Tigers are the largest cat species in the world reaching up to 3.3 meters in length and weighing up to 670 pounds.
elephant,Elephants are large mammals of the family Elephantidae and the order Proboscidea. They are known for their large ears and long trunks.
giraffe,"Giraffes are the tallest land animals on earth, known for their long necks and legs, and their distinctive coat patterns."
zebra,Zebras are African equines with distinctive black-and-white striped coats. They are social animals that live in herds.
monkey,Monkeys are primates that are generally considered to be intelligent and are found in a variety of habitats worldwide.
kangaroo,Kangaroos are large marsupials that are found only in Australia. They are known for their powerful hind legs and large feet.
panda,Pandas are bear-like animals that are native to China. They are known for their distinctive black and white fur and their diet of bamboo.
koala,Koalas are arboreal herbivorous marsupials native to Australia. They are known for their large noses and eucalyptus diet.
cheetah,"Cheetahs are large cats that are known for their incredible speed, capable of running up to 70 miles per hour."
leopard,Leopards are large cats known for their beautiful spotted coats. They are solitary animals that live in a variety of habitats.
wolf,Wolves are large carnivorous mammals that are the ancestors of domestic dogs. They live and hunt in packs.
fox,Foxes are small to medium-sized omnivorous mammals belonging to several genera of the family Canidae.
bear,Bears are large mammals of the family Ursidae. They are found in a variety of habitats and are known for their strength.
rabbit,"Rabbits are small mammals in the family Leporidae. They are known for their long ears and short, fluffy tails."
deer,"Deer are hoofed ruminant mammals forming the family Cervidae. They are known for their antlers, which are shed and regrown each year."
horse,Horses are large mammals of the family Equidae. They have been domesticated by humans for thousands of years.
cow,"Cows are large domesticated ungulates. They are raised for their milk, meat, and hides."
sheep,Sheep are domesticated ruminant mammals typically kept as livestock. They are known for their woolly fleece.
goat,"Goats are domesticated ruminants raised for their milk, meat, and hides. They are known for their agility and intelligence."
pig,Pigs are domesticated mammals typically raised for their meat. They are known for their intelligence and social behavior.
